,name,diameter,velocity,distance
36,(2009 EF3),284.4722965033,10.3718500181,62651407.98976239
37,(2011 UH20),358.1294030194,18.2843517646,55932965.59857157
38,(2014 XO7),25.9441817907,23.8661228641,60316535.88150988
39,(2015 OV),113.2504610618,5.7684364321,49838251.18103543
40,(2016 UW80),98.1838321526,11.5917053312,30954085.921402737
41,(2017 HU),281.8642388124,28.3733820776,34294015.761071764
42,(2019 GA6),74.8238376074,9.0614189805,13492848.298363548
43,(2019 HO),95.0692305162,8.1087539499,12996215.907500273
44,(2019 HS2),28.4472296503,14.1171915052,16475386.687353034
45,(2019 OV3),83.5679942816,14.6479550173,59109805.74025954
46,(2019 TY6),58.3498815511,12.9357359092,50552004.41521509
47,(2020 TY),76.5667086792,19.4279695209,57326711.1487446
48,(2020 VN1),15.4184237999,2.3412195742,7399385.027653367
49,(2021 JV2),52.4855773378,16.9845528861,68151501.60145104
50,(2021 UY2),121.9101817605,6.2820717354,71084791.5787678
51,(2021 WO),389.080960011,12.3994760343,52166376.75446625
52,(2022 AG1),55.7237042765,10.4693679571,60232563.69488021
53,(2022 FM3),82.4213984152,4.8052435974,10173823.609123422
54,(2022 HK1),12.1910181761,5.6898750794,1677603.424476181
55,(2022 HS1),21.0882226764,5.8031475135,1674893.339382835
56,(2022 HB2),20.7033192345,8.1584576967,831755.764759493
57,(2022 KY1),126.4852777541,3.7052459724,45281057.25114023
58,(2022 LG3),201.3909630836,10.5163610739,21790152.159615345
59,162679 (2000 TK1),1486.0724356914,28.195529574,71233557.99876612
60,468481 (2004 TP20),580.817881978,23.5696606813,62278769.85328776
61,(2013 EO4),155.6108871884,4.8422319449,66702655.2362928
62,(2013 KJ6),660.7542706324,10.5134953317,23350051.097348087
63,(2016 GW216),177.0271912367,4.8471030349,15519519.981866293
64,(2016 JG12),184.5185269026,6.0818185273,57369827.97755984
65,(2017 HA1),130.6291132614,9.9444428098,20012785.386306748
66,(2017 UR2),17.1411509231,9.3190820065,7448395.833029157
67,(2019 GF1),18.7948982439,8.1722865839,31934104.99356396
68,(2021 VE4),94.1976305719,11.587878344,41384659.89679063
69,(2021 XY6),168.2828965971,6.3625187598,13362981.415030392
70,(2022 FO4),98.6370281305,4.9194009531,23416269.592197865
71,(2022 GU3),44.4672199676,8.6689165494,1742654.233151667
72,(2022 HJ4),43.4550224647,4.4283880095,10168197.59226761
73,(2022 OQ6),349.9773825493,11.2570140275,36142231.277783856
74,(2022 SF37),90.7904103018,9.9415052276,70314149.37130305
75,(2001 XP31),219.8062205057,6.8641255802,50784837.94169161
76,(2003 YG136),51.7654482198,14.2650738186,57063901.90418747
77,(2013 HJ19),297.8790627982,13.9272607673,61077447.27112368
78,(2013 JX28),567.5968528656,25.7427905064,69239958.99348895
79,(2015 BK515),399.981568182,6.9439405661,13246700.606336389
80,(2016 GF216),62.2357573367,6.5598821854,27960675.31273377
81,(2018 KN2),47.2106498806,19.1593167183,65816801.62050775
82,(2018 RY7),78.3501764334,9.9277473493,25253078.51067905
83,(2019 XP),28.4472296503,18.562269359,33783058.98520153
84,(2020 HA7),187.9489824394,19.3343712497,41198739.14036209
85,(2021 NM),33.7318358913,14.1014947387,64543390.68210997
86,(2022 HQ),21.5794304844,7.0407574106,3321172.032025893
87,(2022 HL1),51.2908597378,12.8842563094,5320041.878895932
88,(2022 HE3),51.2908597378,12.903674078,4702173.833326596
89,(2022 JT),43.0566244241,4.6805394689,3247682.078388393
90,(2022 UW4),59.9846292283,12.6366912766,37318257.08452775
